epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,212.144,0.52406,0.70556,0.84722,0.92487,0.98585,1,0.995,0.72177,0.98585,1,0.995,0.61642,0.98691,3.02926,0.60789,1.19716,0.000346736,0.000346736,0.000346736
42,220.543,0.51653,0.70314,0.70871,0.9041,0.98673,1,0.995,0.74827,0.98673,1,0.995,0.62313,0.98143,2.99652,0.65173,1.22731,0.000313729,0.000313729,0.000313729
43,226.531,0.52915,0.68221,0.71804,0.9202,0.99132,1,0.995,0.73669,0.99132,1,0.995,0.61655,1.00869,3.06618,0.7112,1.25716,0.000280723,0.000280723,0.000280723
44,230.529,0.50621,0.65847,0.71995,0.92045,0.98932,1,0.995,0.71637,0.98932,1,0.995,0.62576,1.0104,3.10399,0.65343,1.24684,0.000247716,0.000247716,0.000247716
45,235.417,0.47271,0.62429,0.65462,0.88246,0.98716,1,0.995,0.7379,0.98716,1,0.995,0.63142,0.98304,3.07843,0.63011,1.24208,0.00021471,0.00021471,0.00021471
46,241.806,0.48019,0.7764,0.64321,0.9047,0.99025,1,0.995,0.72881,0.99025,1,0.995,0.62893,0.97434,3.05679,0.64015,1.24542,0.000181703,0.000181703,0.000181703
47,245.633,0.49578,0.68824,0.62838,0.91557,0.9897,1,0.995,0.74473,0.9897,1,0.995,0.62932,0.94683,3.02503,0.63945,1.21438,0.000148696,0.000148696,0.000148696
48,249.09,0.44791,0.60683,0.6136,0.89037,0.98798,1,0.995,0.74035,0.98798,1,0.995,0.63178,0.93882,3.01262,0.60803,1.1922,0.00011569,0.00011569,0.00011569
49,253.008,0.46952,0.69792,0.61937,0.90761,0.98715,1,0.995,0.73326,0.98715,1,0.995,0.62726,0.9398,3.0102,0.59601,1.19184,8.26832e-05,8.26832e-05,8.26832e-05
50,258.924,0.45867,0.63658,0.61088,0.90251,0.98614,1,0.995,0.73243,0.98614,1,0.995,0.628,0.94557,3.02438,0.59433,1.19794,4.96766e-05,4.96766e-05,4.96766e-05
